model,model_group,finding,dimension,auroc_gap,gap_ci_lo,gap_ci_hi,sens_gap,spec_gap,fpr_gap,fnr_gap,ece_gap
BiomedCLIP,clean,Edema,Age,0.035012496014591776,0.015606631866996729,0.05325559118535764,0.03848175089938033,0.08610096497318398,0.08610096497318398,0.03848175089938033,0.009453531092315053
BiomedCLIP,clean,Edema,Race,0.02578085095951832,0.010629682293593332,0.06368424094855528,0.0348705909113064,0.020249487354750517,0.020249487354750517,0.0348705909113064,0.029121582643588943
BiomedCLIP,clean,Enlarged Cardiomediastinum,Gender,0.01046356740978216,0.0007356160637593368,0.04172096140842305,0.03177709041816912,0.014035752307179794,0.014035752307179794,0.03177709041816912,0.011210720365957924
BiomedCLIP,clean,Enlarged Cardiomediastinum,Age,0.05328333585169209,0.02091810111190989,0.0905058990401449,0.17622195512820515,0.23164506409597396,0.23164506409597396,0.17622195512820515,0.011550054074745214
BiomedCLIP,clean,Enlarged Cardiomediastinum,Race,0.036366070161404807,0.01563021411021655,0.11285380057416446,0.05519346161804273,0.06158583525789063,0.06158583525789063,0.05519346161804273,0.020442700371428833
BiomedCLIP,clean,Lung Opacity,Gender,0.013404140576799284,0.0008085734035934794,0.05043526361183087,0.010707365355404064,0.03476631482455084,0.03476631482455084,0.010707365355404064,0.0002793237786164783
BiomedCLIP,clean,Lung Opacity,Age,0.03613607718512968,0.009133213171554536,0.08204121895423772,0.08295174526391413,0.1816073600973236,0.1816073600973236,0.08295174526391413,0.004050921214552838
BiomedCLIP,clean,Lung Opacity,Race,0.038659308052328534,0.019968960747999764,0.1254163941334884,0.058352868427212434,0.06525956649719034,0.06525956649719034,0.058352868427212434,0.005717536761381636
BiomedCLIP,clean,Pleural Effusion,Gender,0.013790522019119456,0.004841784291730891,0.021630214534575507,0.0320341806983897,0.007011758265937584,0.007011758265937584,0.0320341806983897,0.013419506769212317
BiomedCLIP,clean,Pleural Effusion,Age,0.016308438737582476,0.007560684169310133,0.028596641388344887,0.06877016877277797,0.07838293851656875,0.07838293851656875,0.06877016877277797,0.0035787039712458623
BiomedCLIP,clean,Pleural Effusion,Race,0.012672983063395038,0.005747772821160755,0.031108508736008497,0.06574815142660828,0.025648750268388087,0.025648750268388087,0.06574815142660828,0.025523826787181694
BiomedCLIP,clean,Pneumonia,Gender,0.029909126633264504,0.0017913524340286285,0.08045874181496382,0.01614434947768284,0.13810344827586207,0.13810344827586207,0.01614434947768284,0.027554353236950397
