model,attribute,attribute_type,disease,auroc_baseline,auroc_residualized,auroc_drop
CheSS-ResNet50,bmi,demographic,Cardiomegaly,0.8483714552901354,0.8415740622928265,0.00679739299730886
CheSS-ResNet50,bmi,demographic,Consolidation,0.8139230035205649,0.8095084561948589,0.004414547325706009
CheSS-ResNet50,bmi,demographic,Edema,0.866693344453705,0.8665449382211734,0.00014840623253165042
CheSS-ResNet50,bmi,demographic,Enlarged Cardiomediastinum,0.7127879707545868,0.7133755358338059,-0.0005875650792190878
CheSS-ResNet50,bmi,demographic,Lung Opacity,0.6707769182610929,0.6685857155342628,0.002191202726830044
CheSS-ResNet50,bmi,demographic,Pleural Effusion,0.8766976606208248,0.8747427406707088,0.0019549199501159853
CheSS-ResNet50,bmi,demographic,Pneumonia,0.7252269596217362,0.7200610596136805,0.005165900008055724
CheSS-ResNet50,bmi,demographic,Pneumothorax,0.644696707467106,0.6327540644049183,0.011942643062187619
CheSS-ResNet50,bmi,demographic,Support Devices,0.6726434153049173,0.6722870424520784,0.0003563728528389598
CheSS-ResNet50,hypertension,comorbidity,Atelectasis,0.6364743346179593,0.634773562032966,0.0017007725849933486
CheSS-ResNet50,hypertension,comorbidity,Cardiomegaly,0.852608579675221,0.847681973270702,0.004926606404518918
CheSS-ResNet50,hypertension,comorbidity,Consolidation,0.8419207313286385,0.8414432810423421,0.0004774502862964214
CheSS-ResNet50,hypertension,comorbidity,Edema,0.8737806370571369,0.8735079464287188,0.0002726906284181707
CheSS-ResNet50,hypertension,comorbidity,Enlarged Cardiomediastinum,0.7364416109788258,0.7338628158844765,0.0025787950943492177
CheSS-ResNet50,hypertension,comorbidity,Lung Opacity,0.6722772673005586,0.669849539504541,0.0024277277960176313
CheSS-ResNet50,hypertension,comorbidity,Pleural Effusion,0.8758123198603898,0.874057264928698,0.001755054931691813
CheSS-ResNet50,hypertension,comorbidity,Pneumonia,0.7344637544969908,0.7342880790648014,0.00017567543218932613
CheSS-ResNet50,hypertension,comorbidity,Pneumothorax,0.648450814868513,0.64807692431753,0.0003738905509830248
CheSS-ResNet50,hypertension,comorbidity,Support Devices,0.6654474750448631,0.6647556008860476,0.000691874158815553
CheSS-ResNet50,heart_failure,comorbidity,Atelectasis,0.6364743346179593,0.622674555356529,0.013799779261430278
