policy,attribute,finding,abs_log_or
U-Zero,hyperlipidemia,Pneumonia,0.04956828362665261
U-Zero,hyperlipidemia,Pneumothorax,0.23049991698548544
U-Zero,hyperlipidemia,Support Devices,0.0048427088972654965
U-Zero,obesity,Atelectasis,0.1744514514911936
U-Zero,obesity,Cardiomegaly,0.48676879973896636
U-Zero,obesity,Consolidation,0.18840019551675471
U-Zero,obesity,Edema,0.38177174492244503
U-Zero,obesity,Enlarged Cardiomediastinum,0.25649108934656284
U-Zero,obesity,Lung Opacity,0.1018380338274841
U-Zero,obesity,Pleural Effusion,0.06028438662022675
U-Zero,obesity,Pneumonia,0.12821595313463177
U-Zero,obesity,Pneumothorax,0.6647833538622269
U-Zero,obesity,Support Devices,0.06403799695400827
U-Zero,hypothyroidism,Atelectasis,0.13231997724247788
U-Zero,hypothyroidism,Cardiomegaly,0.2828924483562615
U-Zero,hypothyroidism,Consolidation,0.08831381499630789
U-Zero,hypothyroidism,Edema,0.3641976002324142
U-Zero,hypothyroidism,Enlarged Cardiomediastinum,0.03352259875411914
U-Zero,hypothyroidism,Lung Opacity,0.18379587035599076
U-Zero,hypothyroidism,Pleural Effusion,0.3294872109380211
U-Zero,hypothyroidism,Pneumonia,0.09303026263267844
U-Zero,hypothyroidism,Pneumothorax,0.16639637161716728
U-Zero,hypothyroidism,Support Devices,0.12332355052176479
U-Zero,ckd,Atelectasis,0.18567890606323223
U-Zero,ckd,Cardiomegaly,0.7711158153837046
U-Zero,ckd,Consolidation,0.13707835513742506
U-Zero,ckd,Edema,0.8893693181614333
U-Zero,ckd,Enlarged Cardiomediastinum,0.07544482635730196
U-Zero,ckd,Lung Opacity,0.2161794860838987
U-Zero,ckd,Pleural Effusion,0.5375843463387391
U-Zero,ckd,Pneumonia,0.16723975550341746
U-Zero,ckd,Pneumothorax,0.3231995471328839
U-Zero,ckd,Support Devices,0.18963788934575143
U-Zero,aki,Atelectasis,0.3548347178955706
U-Zero,aki,Cardiomegaly,0.7033745979201316
U-Zero,aki,Consolidation,0.46467990329712744
U-Zero,aki,Edema,0.9577268219571082
U-Zero,aki,Enlarged Cardiomediastinum,0.16523761109457788
U-Zero,aki,Lung Opacity,0.39600613554096925
U-Zero,aki,Pleural Effusion,0.671576689759896
U-Zero,aki,Pneumonia,0.3122921483649164
U-Zero,aki,Pneumothorax,0.18367775763773247
U-Zero,aki,Support Devices,0.5936688212333442
U-Zero,copd,Atelectasis,0.1442244399808133
U-Zero,copd,Cardiomegaly,0.30414806522962484
U-Zero,copd,Consolidation,0.3244965112270357
U-Zero,copd,Edema,0.484806413764215
U-Zero,copd,Enlarged Cardiomediastinum,0.09528241836346109
U-Zero,copd,Lung Opacity,0.4191523859651366
U-Zero,copd,Pleural Effusion,0.28127133776052554
U-Zero,copd,Pneumonia,0.27234956455708786
U-Zero,copd,Pneumothorax,0.3347737279014677
U-Zero,copd,Support Devices,0.136886435937636
U-Zero,asthma,Atelectasis,0.10331736846445212
U-Zero,asthma,Cardiomegaly,0.0397864515191437
U-Zero,asthma,Consolidation,0.05891762230660674
U-Zero,asthma,Edema,0.0117066445580839
