model,disease,race_group,n,auroc,brier,mean_pred,prevalence,calib_gap
CLIP-ViT-B16,Cardiomegaly,Other,748,0.7967043875322612,0.15798925314507753,0.7329877923063838,0.7072192430496216,0.025768549256762197
CLIP-ViT-B16,Consolidation,White,1925,0.8301382486339939,0.16143896119076545,0.6100343515703058,0.6322078108787537,-0.02217345930844783
CLIP-ViT-B16,Consolidation,Black,419,0.8381963470319636,0.16358382075578123,0.4981160470139508,0.4773269593715668,0.02078908764238402
CLIP-ViT-B16,Consolidation,Asian,106,0.8357843137254902,0.1582081816024319,0.6155482691389244,0.6792452931404114,-0.06369702400148702
CLIP-ViT-B16,Consolidation,Other,236,0.8737319231599396,0.14208452835431368,0.50506628548869,0.4788135588169098,0.026252726671780247
CLIP-ViT-B16,Edema,White,5718,0.851104156015811,0.15488512738744123,0.5467535684162728,0.5475690960884094,-0.0008155276721366622
CLIP-ViT-B16,Edema,Black,1093,0.8458019357647608,0.1600914747154858,0.49863715131433006,0.5077767372131348,-0.009139585898804703
CLIP-ViT-B16,Edema,Asian,228,0.849079849079849,0.15940252712497863,0.4994842528903753,0.5131579041481018,-0.013673651257726516
CLIP-ViT-B16,Edema,Other,685,0.8158435685287013,0.1772991882283544,0.4940311021698169,0.4656934440135956,0.0283376581562213
CLIP-ViT-B16,Enlarged Cardiomediastinum,White,1346,0.7490982241953386,0.19887925379931765,0.5997590235033723,0.6062406897544861,-0.0064816662511137935
CLIP-ViT-B16,Enlarged Cardiomediastinum,Black,223,0.7718446601941746,0.19587532502840585,0.5618128476161888,0.5381165742874146,0.02369627332877422
CLIP-ViT-B16,Enlarged Cardiomediastinum,Asian,71,0.7723809523809523,0.17873215800730735,0.6085751067330208,0.7042253613471985,-0.09565025461417764
CLIP-ViT-B16,Enlarged Cardiomediastinum,Other,194,0.7546097770154374,0.20244215129957235,0.5370175189055697,0.5463917255401611,-0.009374206634591431
CLIP-ViT-B16,Lung Opacity,White,5827,0.6890553266263256,0.046951206463375354,0.9497994017156665,0.9498884677886963,-8.906607302983094e-05
CLIP-ViT-B16,Lung Opacity,Black,1098,0.7106581532416503,0.06605412458085437,0.9477788764659686,0.9271402359008789,0.020638640565089683
CLIP-ViT-B16,Lung Opacity,Asian,293,0.7774580335731414,0.04653410874123777,0.9476541102138573,0.9488054513931274,-0.0011513411792701822
CLIP-ViT-B16,Lung Opacity,Other,681,0.7144573969474823,0.06637857669914972,0.9429701291410177,0.922173261642456,0.02079686749856169
CLIP-ViT-B16,Pleural Effusion,White,9135,0.8285632999516475,0.14469409301004227,0.6965279504112908,0.706184983253479,-0.009657032842188218
CLIP-ViT-B16,Pleural Effusion,Black,1390,0.8153154874093697,0.17081051546249393,0.6080646923379194,0.5784172415733337,0.029647450764585637
CLIP-ViT-B16,Pleural Effusion,Asian,387,0.830236748897036,0.14957400541293017,0.6728038553798898,0.6873385310173035,-0.014534675637413619
CLIP-ViT-B16,Pleural Effusion,Other,1046,0.8395271758913347,0.15669476138630642,0.6212421235234605,0.6070745587348938,0.014167564788566733
CLIP-ViT-B16,Pneumonia,White,3927,0.7195211638940925,0.20829457913976185,0.42563177708314887,0.4163483679294586,0.009283409153690247
CLIP-ViT-B16,Pneumonia,Black,872,0.7236640533477516,0.20172203508392061,0.3959001562759808,0.37155961990356445,0.024340536372416344
CLIP-ViT-B16,Pneumonia,Asian,227,0.6333333333333334,0.24628255450079287,0.4561793388958451,0.46255508065223694,-0.006375741756391828
CLIP-ViT-B16,Pneumonia,Other,541,0.7019744483159118,0.2085743170636797,0.39341187424406526,0.37892791628837585,0.014483957955689408
CLIP-ViT-B16,Pneumothorax,White,5861,0.6706664660727183,0.14927403839965347,0.19686687179986492,0.19843029975891113,-0.0015634279590462097
CLIP-ViT-B16,Pneumothorax,Black,895,0.7166691457186772,0.1358471722702841,0.18397394342045156,0.18547485768795013,-0.001500914267498571
CLIP-ViT-B16,Pneumothorax,Asian,289,0.7275668679896463,0.15416678526703037,0.26702275359446787,0.2110726684331894,0.05595008516127847
CLIP-ViT-B16,Pneumothorax,Other,653,0.6340506329113925,0.12918151012647963,0.16712592624675524,0.15313935279846191,0.013986573448293321
CLIP-ViT-B16,Support Devices,White,8281,0.7373393416256508,0.038249686876829316,0.9524091216179131,0.9591836929321289,-0.0067745713142157715
CLIP-ViT-B16,Support Devices,Black,1188,0.7036670691084702,0.04588613647654602,0.9514678221823065,0.9486532211303711,0.002814601051935428
CLIP-ViT-B16,Support Devices,Asian,359,0.7461300309597523,0.04830757527319051,0.9403011698682482,0.9470751881599426,-0.006774018291694439
