attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop,log_or,abs_log_or,odds_ratio,erank,norm_erank,log_erank
anemia,comorbidity,DINOv2-base,Consolidation,0.88276,0.875005,0.007755,0.343529027688116,0.343529027688116,1.4099144484457544,91.37791693219594,0.1189816626721301,4.515003840210997
anemia,comorbidity,DINOv2-base,Edema,0.889433,0.880901,0.008532,0.4118141996975195,0.4118141996975195,1.5095539346932307,91.37791693219594,0.1189816626721301,4.515003840210997
anemia,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.757696,0.016006,0.137313183795794,0.137313183795794,1.1471873727617448,91.37791693219594,0.1189816626721301,4.515003840210997
anemia,comorbidity,DINOv2-base,Lung Opacity,0.7188,0.713049,0.005751,0.1723756672800868,0.1723756672800868,1.1881240887316789,91.37791693219594,0.1189816626721301,4.515003840210997
anemia,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.873462,0.01021,0.5257526643489264,0.5257526643489264,1.691731675433278,91.37791693219594,0.1189816626721301,4.515003840210997
anemia,comorbidity,DINOv2-base,Pneumonia,0.745943,0.739442,0.006501,0.1683301770616986,0.1683301770616986,1.183327253669224,91.37791693219594,0.1189816626721301,4.515003840210997
anemia,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.70245,-0.000243,-0.2878798827959024,0.2878798827959024,0.749851656914291,91.37791693219594,0.1189816626721301,4.515003840210997
anemia,comorbidity,DINOv2-base,Support Devices,0.745245,0.740867,0.004378,0.2891885342290291,0.2891885342290291,1.3353434627477423,91.37791693219594,0.1189816626721301,4.515003840210997
smoking_history,comorbidity,DINOv2-base,Atelectasis,0.696113,0.69724,-0.001127,-0.0899484575752141,0.0899484575752141,0.91397829271461,91.37791693219594,0.1189816626721301,4.515003840210997
smoking_history,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.812126,0.001099,-0.2420934026302796,0.2420934026302796,0.7849828546642574,91.37791693219594,0.1189816626721301,4.515003840210997
smoking_history,comorbidity,DINOv2-base,Consolidation,0.88276,0.883143,-0.000383,0.0091658859273231,0.0091658859273231,1.0092080212973462,91.37791693219594,0.1189816626721301,4.515003840210997
smoking_history,comorbidity,DINOv2-base,Edema,0.889433,0.889406,2.7e-05,-0.044388129923683,0.044388129923683,0.9565826070773268,91.37791693219594,0.1189816626721301,4.515003840210997
smoking_history,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.774462,-0.00076,-0.1222007188618999,0.1222007188618999,0.8849707203587517,91.37791693219594,0.1189816626721301,4.515003840210997
smoking_history,comorbidity,DINOv2-base,Lung Opacity,0.7188,0.718008,0.000792,0.1077933254356631,0.1077933254356631,1.1138175238453272,91.37791693219594,0.1189816626721301,4.515003840210997
smoking_history,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.883718,-4.5e-05,-0.2618094120015047,0.2618094120015047,0.7696576972500687,91.37791693219594,0.1189816626721301,4.515003840210997
smoking_history,comorbidity,DINOv2-base,Pneumonia,0.745943,0.74593,1.3e-05,0.0255242509725274,0.0255242509725274,1.0258527838964695,91.37791693219594,0.1189816626721301,4.515003840210997
smoking_history,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.701946,0.000261,0.0564289348125436,0.0564289348125436,1.0580514215058372,91.37791693219594,0.1189816626721301,4.515003840210997
smoking_history,comorbidity,DINOv2-base,Support Devices,0.745245,0.744956,0.000289,0.1321697769984811,0.1321697769984811,1.1413020696593368,91.37791693219594,0.1189816626721301,4.515003840210997
cancer_history,comorbidity,DINOv2-base,Atelectasis,0.696113,0.696197,-8.4e-05,0.109445455021143,0.109445455021143,1.115659215667158,91.37791693219594,0.1189816626721301,4.515003840210997
cancer_history,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.814008,-0.000783,-0.1706322508746525,0.1706322508746525,0.843131577366425,91.37791693219594,0.1189816626721301,4.515003840210997
cancer_history,comorbidity,DINOv2-base,Consolidation,0.88276,0.880759,0.002001,0.1417421047353901,0.1417421047353901,1.1522794428028704,91.37791693219594,0.1189816626721301,4.515003840210997
cancer_history,comorbidity,DINOv2-base,Edema,0.889433,0.889,0.000433,-0.066077938325283,0.066077938325283,0.9360579066629447,91.37791693219594,0.1189816626721301,4.515003840210997
cancer_history,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.770417,0.003285,0.1398276697775554,0.1398276697775554,1.1500755889968632,91.37791693219594,0.1189816626721301,4.515003840210997
cancer_history,comorbidity,DINOv2-base,Lung Opacity,0.7188,0.712602,0.006198,0.1456904151069654,0.1456904151069654,1.1568379930414412,91.37791693219594,0.1189816626721301,4.515003840210997
cancer_history,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.880491,0.003182,0.2768611335843879,0.2768611335843879,1.3189831958481524,91.37791693219594,0.1189816626721301,4.515003840210997
cancer_history,comorbidity,DINOv2-base,Pneumonia,0.745943,0.746029,-8.6e-05,0.0306547313841372,0.0306547313841372,1.0311294257891466,91.37791693219594,0.1189816626721301,4.515003840210997
cancer_history,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.701127,0.00108,0.3380976529740728,0.3380976529740728,1.402277433281242,91.37791693219594,0.1189816626721301,4.515003840210997
cancer_history,comorbidity,DINOv2-base,Support Devices,0.745245,0.745188,5.7e-05,-0.0787122733558624,0.0787122733558624,0.924305833604337,91.37791693219594,0.1189816626721301,4.515003840210997
depression,comorbidity,DINOv2-base,Atelectasis,0.696113,0.697452,-0.001339,-0.0451222822153099,0.0451222822153099,0.9558805874903858,91.37791693219594,0.1189816626721301,4.515003840210997
depression,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.813075,0.000149,0.0369961639057644,0.0369961639057644,1.037689040157577,91.37791693219594,0.1189816626721301,4.515003840210997
depression,comorbidity,DINOv2-base,Consolidation,0.88276,0.882632,0.000128,-0.0895542427250649,0.0895542427250649,0.9143386675582026,91.37791693219594,0.1189816626721301,4.515003840210997
depression,comorbidity,DINOv2-base,Edema,0.889433,0.888793,0.00064,0.0532519426306497,0.0532519426306497,1.0546953343658008,91.37791693219594,0.1189816626721301,4.515003840210997
depression,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.773498,0.000204,-0.0372210851608232,0.0372210851608232,0.9634631044055462,91.37791693219594,0.1189816626721301,4.515003840210997
depression,comorbidity,DINOv2-base,Lung Opacity,0.7188,0.718354,0.000446,0.0653536103404184,0.0653536103404184,1.0675364495768784,91.37791693219594,0.1189816626721301,4.515003840210997
depression,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.883685,-1.2e-05,-0.0820892552302567,0.0820892552302567,0.9211897340250916,91.37791693219594,0.1189816626721301,4.515003840210997
depression,comorbidity,DINOv2-base,Pneumonia,0.745943,0.745924,1.9e-05,-0.0021398064294344,0.0021398064294344,0.997862481324269,91.37791693219594,0.1189816626721301,4.515003840210997
depression,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.701056,0.001151,-0.2922545245540283,0.2922545245540283,0.7465784892315832,91.37791693219594,0.1189816626721301,4.515003840210997
depression,comorbidity,DINOv2-base,Support Devices,0.745245,0.745325,-8e-05,0.1032966482702699,0.1032966482702699,1.1088202899136728,91.37791693219594,0.1189816626721301,4.515003840210997
sex,demographic,BiomedCLIP,Atelectasis,0.713849,0.714943,-0.001094,0.0788291055407928,0.0788291055407928,1.082019395149886,27.991858015520755,0.0546715976865639,3.3319136827290285
sex,demographic,BiomedCLIP,Cardiomegaly,0.851057,0.851135,-7.8e-05,-0.0940599369974005,0.0940599369974005,0.91022820426025,27.991858015520755,0.0546715976865639,3.3319136827290285
sex,demographic,BiomedCLIP,Consolidation,0.885102,0.882541,0.002561,0.2747962991139378,0.2747962991139378,1.316262523714864,27.991858015520755,0.0546715976865639,3.3319136827290285
sex,demographic,BiomedCLIP,Edema,0.887578,0.887451,0.000127,0.0144939275747575,0.0144939275747575,1.0145994738532362,27.991858015520755,0.0546715976865639,3.3319136827290285
