model,attribute,disease,auroc_baseline,auroc_residualized,auroc_drop
ResNet50-ImageNet,bmi,Support Devices,0.5267925651370239,0.527003405196192,-0.0002108400591681603
DINOv2-base,sex,Atelectasis,0.45774019262391363,0.4576838148931172,5.637773079641972e-05
DINOv2-base,sex,Cardiomegaly,0.5010834963876586,0.5004973566339628,0.0005861397536958135
DINOv2-base,sex,Consolidation,0.49794983048849395,0.49758232690111015,0.0003675035873837995
DINOv2-base,sex,Edema,0.5025536793730998,0.5020172635660526,0.0005364158070472191
DINOv2-base,sex,Enlarged Cardiomediastinum,0.4927891874533482,0.49319596688609185,-0.0004067794327436425
DINOv2-base,sex,Lung Opacity,0.5072737492255514,0.5074640080989761,-0.00019025887342472014
DINOv2-base,sex,Pleural Effusion,0.5196359829309636,0.5192564336259611,0.0003795493050025023
DINOv2-base,sex,Pneumonia,0.5225826437137673,0.5225317520024781,5.0891711289136055e-05
DINOv2-base,sex,Pneumothorax,0.5116261179263949,0.5118062524732885,-0.00018013454689358444
DINOv2-base,sex,Support Devices,0.5270262598356862,0.5266541671488081,0.0003720926868781005
DINOv2-base,race_black_vs_white,Atelectasis,0.5071559218965271,0.5074766022138819,-0.0003206803173547712
DINOv2-base,race_black_vs_white,Cardiomegaly,0.4966067502579142,0.4961407872153547,0.00046596304255946963
DINOv2-base,race_black_vs_white,Consolidation,0.5043709540508793,0.5047238679916659,-0.0003529139407866255
DINOv2-base,race_black_vs_white,Edema,0.5072688712099362,0.5071963921063942,7.247910354202247e-05
DINOv2-base,race_black_vs_white,Enlarged Cardiomediastinum,0.49915724446268894,0.4991009120276999,5.633243498903706e-05
DINOv2-base,race_black_vs_white,Lung Opacity,0.4925992108407557,0.4926162329199577,-1.7022079202011486e-05
DINOv2-base,race_black_vs_white,Pleural Effusion,0.5083682481474795,0.508010781804731,0.0003574663427484692
DINOv2-base,race_black_vs_white,Pneumonia,0.5380962117007915,0.5383766101001839,-0.00028039839939242306
DINOv2-base,race_black_vs_white,Pneumothorax,0.5048015772684253,0.5049365924918459,-0.00013501522342052041
DINOv2-base,race_black_vs_white,Support Devices,0.5240686557018516,0.5237144604040136,0.0003541952978379781
DINOv2-base,age,Atelectasis,0.45774019262391363,0.4581512802443035,-0.0004110876203898828
DINOv2-base,age,Cardiomegaly,0.5010834963876586,0.5012549768152756,-0.0001714804276170545
DINOv2-base,age,Consolidation,0.49794983048849395,0.4994145094938639,-0.001464679005369951
DINOv2-base,age,Edema,0.5025536793730998,0.5039868614738656,-0.0014331821007658174
DINOv2-base,age,Enlarged Cardiomediastinum,0.4927891874533482,0.4921046279630662,0.0006845594902820107
DINOv2-base,age,Lung Opacity,0.5072737492255514,0.5074305551119996,-0.00015680588644828575
DINOv2-base,age,Pleural Effusion,0.5196359829309636,0.5211022800717794,-0.0014662971408158088
DINOv2-base,age,Pneumonia,0.5225826437137673,0.5203500464663452,0.0022325972474220857
DINOv2-base,age,Pneumothorax,0.5116261179263949,0.5134223981005145,-0.001796280174119591
DINOv2-base,age,Support Devices,0.5270262598356862,0.5279036970608655,-0.0008774372251793006
DINOv2-base,bmi,Atelectasis,0.45374955863579985,0.4544421609191239,-0.000692602283324073
DINOv2-base,bmi,Cardiomegaly,0.4864835721604436,0.48610769727722025,0.00037587488322332607
DINOv2-base,bmi,Consolidation,0.49648929163700606,0.49640992295815445,7.936867885161014e-05
DINOv2-base,bmi,Edema,0.5069724743401122,0.5070612794253373,-8.880508522512987e-05
DINOv2-base,bmi,Enlarged Cardiomediastinum,0.4906266552581183,0.49024772847655135,0.00037892678156697945
DINOv2-base,bmi,Lung Opacity,0.5007710408045155,0.5020958290959106,-0.0013247882913950404
DINOv2-base,bmi,Pleural Effusion,0.5147482176036485,0.5145505797639099,0.00019763783973858473
